Charge (Wh),Charge (Ah),Voltage,Current,Time,TBAT1,TBAT2,TBAT3,TBAT4,TBRD,Cycle Number,Charge direction (chg/hold/dschg)
0.07565896564257771,0.010700960641817728,7.070296600000001,1.8973607557999996,16511.287773609,272.19696,273.5488,273.1512,271.79936,307.5559972,0,chg
0.14011666173789988,0.019640273421706114,7.2105874,1.5659824476000002,16531.838148268,272.19696,273.31024,273.07168,271.79936,307.5559972,0,chg
0.20533841314122264,0.028598403488410765,7.2807328,1.5689149989999998,16552.39328877,272.27648,273.31024,272.91264,271.64032,307.25804999999997,0,chg
0.27993192516597515,0.03877834871837396,7.327496399999999,1.7829912512,16572.947401306,272.03792,273.1512,272.83312,271.56080000000003,307.25804999999997,0,chg
0.344797666873623,0.04758317620730631,7.367065599999999,1.5425220363999999,16593.496462008,271.9584,272.91264,272.83312,271.56080000000003,307.10907639999994,0,chg
0.4175003489217684,0.0574133848910363,7.395843199999999,1.7214076717999998,16614.054492416,271.9584,273.07168,272.51504,271.24272,307.0345896,0,chg
0.4815986546774881,0.06605077903107376,7.4210236,1.5131965224000001,16634.603455121,271.9584,272.91264,272.59456,271.24272,306.96010279999996,0,chg
0.5529872813558401,0.07564266378284541,7.4426068,1.6803519521999999,16655.153188801,271.87888,272.67408,272.43552,271.1632,306.88561599999997,0,chg
0.6255804340122724,0.08538932427091134,7.4480026,1.7067449148,16675.711608195,271.71984,272.67408,272.356,270.92464,306.88561599999997,0,chg
0.6981560806285487,0.09508213905183623,7.4875717999999996,1.6979472606,16696.262383841,271.79936,272.43552,272.19696,271.00416,306.8111292,0,chg
0.7633752456367869,0.10377575509245342,7.501960599999999,1.5219941766,16716.82554908,271.71984000000003,272.51504,272.03792,270.7656,306.7366424,0,chg
0.8366702240107057,0.11355289706739088,7.496564799999999,1.7126100176,16737.377636682,271.64032000000003,272.43552,272.11744,270.7656,306.513182,0,chg
0.9022609238873476,0.12226054783872756,7.5325368,1.5249267279999998,16757.934390132,271.32224,272.356,271.87888,270.7656,306.513182,0,chg
0.9752488919169306,0.1319386860898796,7.541529799999999,1.6950147092,16778.489549633,271.56080000000003,272.19696,271.79936,270.60656,306.4386951999999,0,chg
1.0392259686248622,0.14040986644879966,7.552321399999999,1.4838710084,16799.041369245,271.40176,272.19696,271.79936,270.44752,306.513182,0,chg
1.1117154844858785,0.1499922012722517,7.564911599999999,1.6774194007999998,16819.606533418,271.48128,272.27648,271.79936,270.44752,306.21523479999996,0,chg
1.1843184547821708,0.15960324402723736,7.554119999999999,1.6832845036,16840.161438928,271.24272,272.11744,271.71984,270.44752,306.140748,0,chg
1.257598661187433,0.16929470804112126,7.561314399999999,1.6979472606,16860.709350668,271.32224,272.03792,271.56080000000003,270.20896,306.140748,0,chg
1.3225464885532525,0.17785163032425294,7.590092,1.4985337654,16881.266058118,271.08368,271.87888,271.48128,270.28848,306.140748,0,chg
1.387126567741257,0.1863560709837422,7.5936892,1.4897361112,16901.817339747,271.08368,271.87888,271.56080000000003,270.12944,306.140748,0,chg
1.4521414816373486,0.19491372044870006,7.5972864,1.4985337654,16922.375794141,271.08368,271.87888,271.32224,270.28848,306.0662612,0,chg
1.5234789496529357,0.20430580557792472,7.595487799999999,1.6451613354,16942.927885743,270.92464,271.71984,271.40176,270.20896,306.0662612,0,chg
1.594617780744706,0.21368061850908657,7.5882933999999995,1.642228784,16963.478814384,270.84512,271.71984,271.40176,270.20896,305.91728759999995,0,chg
1.6674146645797796,0.22324446377603566,7.611675199999999,1.6744868494000003,16984.04024368,270.84512,271.56080000000003,271.24272,270.20896,305.84280079999996,0,chg
1.7387255184263877,0.2326374934709852,7.591890599999999,1.6451613354,17004.594402214,270.84512,271.56080000000003,271.24272,269.9704,305.91728759999995,0,chg
1.8113875319528494,0.2421994359320133,7.599085,1.6744868494000003,17025.151740644,270.7656,271.56080000000003,271.1632,269.81136000000004,305.9172876,0,chg
1.8839665121969473,0.2517256496690351,7.618869599999999,1.6686217466000002,17045.704253233,270.7656,271.40176,271.00416,269.89088,305.768314,0,chg
1.9564545771717556,0.261233197107613,7.624265399999999,1.6656891952,17066.252606958,270.7656,271.32224,271.24272,269.73184000000003,305.768314,0,chg
2.0291446277343677,0.27078075088820286,7.6134737999999995,1.6715542979999998,17086.815022221,270.7656,271.24272,270.92464,269.65232000000003,305.61934039999994,0,chg
2.1005441143494687,0.280172105772812,7.602682199999999,1.6451613354,17107.365515876,270.52704,271.48128,271.00416,269.81136000000004,305.6938272,0,chg
2.1731438018662272,0.2896875594231993,7.629661199999999,1.6656891952,17127.93095704,270.52704,271.40176,270.84512,269.73184000000003,305.768314,0,chg
2.2382668961458076,0.2982271014831112,7.6260639999999995,1.495601214,17148.486136541,270.368,271.32224,270.84512,269.73184000000003,305.6938272,0,chg
2.3099489189971503,0.3076200649173604,7.631459799999999,1.6451613354,17169.040150081,270.52704,271.1632,270.7656,269.73184000000003,305.768314,0,chg
2.3838031296788134,0.31729994568082903,7.629661199999999,1.6950147092,17189.599010461,270.68608,271.08368,270.60656,269.73184000000003,305.61934039999994,0,chg
2.455492100103326,0.32670934289961234,7.618869599999999,1.6480938868,17210.152348022,270.52704,271.08368,270.68608,269.57280000000003,305.5448536,0,chg
2.5269424305489685,0.3360697400853859,7.6332584,1.6392962326000002,17230.708382495,270.44752,271.08368,270.60656,269.49328,305.61934039999994,0,chg
2.599389703304627,0.3455809121298185,7.617071,1.6656891952,17251.264569963,270.44752,271.00416,270.44752,269.41376,305.39588,0,chg
